"INSTNM","CITY","state","degree_offered","CONTROL","region","ADM_RATE","SATVRMID","SATMTMID","num_undergrad","prop_arts_human","prop_business","prop_health_med","prop_interdiscip","prop_public_svce","prop_sci_math_tech","prop_social_sci","prop_trades_personal_svce"
"CenterPoint Massage and Shiatsu Therapy School and Clinic","St Louis Park","MN","1","2","4",NA,NA,NA,95,0,0,1,0,0,0,0,0
"Avalon School of Cosmetology","Worthington","MN","1","2","4",NA,NA,NA,33,0,0,0,0,0,0,0,1
"Transformed Barber and Cosmetology Academy","Kansas City","MO","1","2","4",NA,NA,NA,105,0,0,0,0,0,0,0,1
"Bitterroot School of Cosmetology","Hamilton","MT","1","2","7",NA,NA,NA,30,0,0,0,0,0,0,0,1
"Atlanta Beauty & Barber Academy","Doraville","GA","1","2","5",NA,NA,NA,515,0,0,0.099,0,0,0,0,0.901
"The Salon Professional Academy-Great Falls","Great Falls","MT","1","2","7",NA,NA,NA,102,0,0,0.0417,0,0,0,0,0.9583
"Park West Barber School","Durham","NC","1","2","5",NA,NA,NA,175,0,0,0,0,0,0,0,1
"National Career Institute","East Orange","NJ","1","2","2",NA,NA,NA,176,0,0,1,0,0,0,0,0
"Toni & Guy Hairdressing Academy-Albuquerque","Albuquerque","NM","1","2","6",NA,NA,NA,84,0,0,0,0,0,0,0,1
"International Academy of Style","Reno","NV","1","2","8",NA,NA,NA,118,0,0,0,0,0,0,0,1
"EDP School of Computer Programming","Brooklyn","NY","1","2","2",NA,NA,NA,82,0,0.1333,0.7333,0,0,0,0.1333,0
"New York Medical Career Training Center","Flushing","NY","1","2","2",NA,NA,NA,363,0,0,1,0,0,0,0,0
"Institute of Culinary Education","New York","NY","1","2","2",NA,NA,NA,614,0,0.0283,0,0,0,0,0,0.9717
"New Life Business Institute","Jamaica","NY","1","2","2",NA,NA,NA,42,0,0,1,0,0,0,0,0
"The Salon Professional Academy-Tonawanda","Tonawanda","NY","1","2","2",NA,NA,NA,109,0,0,0,0,0,0,0,1
"Onondaga School of Therapeutic Massage-Syracuse","Syracuse","NY","1","2","2",NA,NA,NA,74,0,0,1,0,0,0,0,0
"Academy of Cosmetology and Esthetics NYC","Staten Island","NY","1","2","2",NA,NA,NA,130,0,0,0,0,0,0,0,1
"Finger Lakes School of Massage","Ithaca","NY","1","2","2",NA,NA,NA,113,0,0,1,0,0,0,0,0
"Four County Career Center","Archbold","OH","1","1","3",NA,NA,NA,142,0,0,0.6708,0,0.3292,0,0,0
"Vanity School of Cosmetology","Sheffield Village","OH","1","2","3",NA,NA,NA,53,0,0,0,0,0,0,0,1
"The Salon Professional Academy-Perrysburg","Perrysburg","OH","1","2","3",NA,NA,NA,76,0,0,0,0,0,0,0,1
"Portland Actors Conservatory","Portland","OR","1","2","8",0.9143,NA,NA,22,1,0,0,0,0,0,0,0
"Somerset County Technology Center","Somerset","PA","1","1","2",NA,NA,NA,100,0,0,0.5745,0,0,0,0,0.4256
"Metro Beauty Academy","Allentown","PA","1","2","2",NA,NA,NA,206,0,0,0.0062,0,0,0,0,0.9938
"Barone Beauty Academy","Williamsport","PA","1","2","2",NA,NA,NA,56,0,0,0,0,0,0,0,1
"Academy for Careers and Technology","Mullins","SC","1","1","5",NA,NA,NA,50,0,0,1,0,0,0,0,0
"Aiken School of Cosmetology","Aiken","SC","1","2","5",NA,NA,NA,33,0,0,0,0,0,0,0,1
"Love Beauty School Inc","Manchester","TN","1","2","5",NA,NA,NA,53,0,0,0,0,0,0,0,1
"Professional Career Training Institute","Houston","TX","1","2","6",NA,NA,NA,114,0,0.2778,0,0,0,0,0,0.7222
"Cardiotech Ultrasound School","Houston","TX","1","2","6",NA,NA,NA,61,0,0,1,0,0,0,0,0
"DuVall's School of Cosmetology","Bedford","TX","1","2","6",NA,NA,NA,91,0,0,0,0,0,0,0,1
"Advanced Beauty College","Irving","TX","1","2","6",NA,NA,NA,60,0,0,0,0,0,0,0,1
"Texas Beauty College","Haltom City","TX","1","2","6",NA,NA,NA,89,0,0,0,0,0,0,0,1
"Avenue Five Institute","Austin","TX","1","2","6",NA,NA,NA,241,0,0,0,0,0,0,0,1
"The Salon Professional Academy-Lewisville","Lewisville","TX","1","2","6",NA,NA,NA,80,0,0,0,0,0,0,0,1
"Renaissance Academie","Provo","UT","1","2","7",NA,NA,NA,70,0,0,0,0,0,0,0,1
"Bethel College","Hampton","VA","3","2","5",1,NA,NA,54,0,0,0,0,1,0,0,0
"Institute of Advanced Medical Esthetics","Richmond","VA","1","2","5",NA,NA,NA,1,0,0,0,0,0,0,0,1
"Gary Manuel Aveda Institute","Seattle","WA","1","2","8",0.8347,NA,NA,287,0,0,0,0,0,0,0,1
"Northwest School of Wooden Boat Building","Port Hadlock","WA","2","2","8",NA,NA,NA,52,0,0,0,0,0,0,0,1
"The Salon Professional Academy-Onalaska","Onalaska","WI","1","2","3",NA,NA,NA,87,0,0,0,0,0,0,0,1
"Regency Beauty Institute-North Tucson","Tucson","AZ","1","2","6",NA,NA,NA,86,0,0,0,0,0,0,0,1
"Kaplan College-Chula Vista","Chula Vista","CA","1","2","8",NA,NA,NA,299,0,0,0.8596,0,0.1404,0,0,0
"InterCoast Colleges-Roseville","Roseville","CA","1","2","8",NA,NA,NA,3,0,0,1,0,0,0,0,0
"West Coast University-Orange County","Anaheim","CA","3","2","8",0.5263,NA,NA,1528,0,0,1,0,0,0,0,0
"West Coast University-Ontario","Ontario","CA","3","2","8",0.4902,NA,NA,1103,0,0,1,0,0,0,0,0
"Dade Medical College-Homestead","Homestead","FL","2","2","5",NA,NA,NA,309,0,0,1,0,0,0,0,0
"Virginia College-Augusta","Augusta","GA","2","2","5",NA,NA,NA,902,0,0.039,0.8019,0,0,0,0,0.1591
"Midwest Technical Institute-East Peoria","East Peoria","IL","1","2","3",NA,NA,NA,849,0,0,0.6149,0,0,0,0,0.3851
"Paul Mitchell the School-Chicago","Chicago","IL","1","2","3",NA,NA,NA,305,0,0,0,0,0,0,0,1
"Kaplan College-Indianapolis","Indianapolis","IN","1","2","3",NA,NA,NA,478,0,0,0.8714,0,0.0321,0.0321,0,0.0643
"Regency Beauty Institute-Evansville","Evansville","IN","1","2","3",NA,NA,NA,65,0,0,0,0,0,0,0,1
"Regency Beauty Institute-Shreveport","Shreveport","LA","1","2","5",NA,NA,NA,107,0,0,0,0,0,0,0,1
"Regency Beauty Institute-Springfield","Springfield","MO","1","2","4",NA,NA,NA,72,0,0,0,0,0,0,0,1
"Regency Beauty Institute-Canton","Canton","OH","1","2","3",NA,NA,NA,138,0,0,0,0,0,0,0,1
"Regency Beauty Institute-Spartanburg","Spartanburg","SC","1","2","5",NA,NA,NA,50,0,0,0,0,0,0,0,1
"Regency Beauty Institute-Chattanooga","Chattanooga","TN","1","2","5",NA,NA,NA,58,0,0,0,0,0,0,0,1
"Regency Beauty Institute-Mesquite","Mesquite","TX","1","2","6",NA,NA,NA,77,0,0,0,0,0,0,0,1
"Dorsey Business Schools-Waterford Pontiac","Pontiac","MI","1","2","3",NA,NA,NA,229,0,0,0.6848,0,0,0,0,0.3152
"Regina's College of Beauty-High Point","High Point","NC","1","2","5",NA,NA,NA,59,0,0,0,0,0,0,0,1
"Miller-Motte College-Fayetteville","Fayetteville","NC","1","2","5",NA,NA,NA,734,0,0,0.5399,0,0.0833,0,0,0.3768
"Drake College of Business-Newark","Newark","NJ","1","2","2",NA,NA,NA,1335,0,0,1,0,0,0,0,0
"European Massage Therapy School-Las Vegas","Las Vegas","NV","1","2","8",NA,NA,NA,96,0,0,1,0,0,0,0,0
"Harrison College-Grove City","Grove City","OH","2","2","3",1,NA,NA,244,0,0.2368,0.6053,0,0.1579,0,0,0
"Miller-Motte Technical College-Columbus","Columbus","GA","2","2","5",NA,NA,NA,504,0,0.0543,0.9076,0,0.038,0,0,0
"National University College-Ponce","Ponce","PR","3","2","9",0.8379,NA,NA,1117,0,0,1,0,0,0,0,0
"Fortis Institute-Grand Prairie","Grand Prairie","TX","1","2","6",NA,NA,NA,304,0,0,1,0,0,0,0,0
"Paul Mitchell the School-St George","Washington","UT","1","2","7",NA,NA,NA,161,0,0,0,0,0,0,0,1
"The Art Institute of Virginia Beach","Virginia Beach","VA","2","2","5",NA,NA,NA,663,0.3256,0.0581,0,0,0,0.0465,0,0.5698
"Bryant & Stratton College-Bayshore","Glendale","WI","2","2","3",NA,NA,NA,589,0,0.181,0.6762,0,0.1429,0,0,0
"Virginia College-Columbia","Columbia","SC","1","2","5",NA,NA,NA,550,0,0.055,0.7663,0,0,0,0,0.1787
"Fortis College-Indianapolis","Indianapolis","IN","1","2","3",NA,NA,NA,172,0,0,0.3393,0,0,0,0,0.6607
"Kaplan College-Arlington","Arlington","TX","1","2","6",NA,NA,NA,416,0,0,0.8635,0,0.092,0.0445,0,0
"Kaplan College-Charlotte","Charlotte","NC","1","2","5",NA,NA,NA,382,0,0,0.986,0,0.014,0,0,0
"Kaplan College-Jacksonville","Jacksonville","FL","1","2","5",NA,NA,NA,278,0,0,0.78,0,0.1267,0.0933,0,0
"Globe University-Madison East","Madison","WI","2","2","3",NA,NA,NA,261,0.131,0.1429,0.6071,0,0.0833,0.0357,0,0
"Minnesota School of Business-Lakeville","Lakeville","MN","2","2","4",NA,NA,NA,197,0,0.3,0.425,0,0.175,0.1,0,0
"Globe University–Green Bay","Green Bay","WI","2","2","3",NA,NA,NA,235,0.0492,0.0656,0.7869,0,0.0492,0.0492,0,0
"Globe University–Madison West","Middleton","WI","2","2","3",NA,NA,NA,211,0,0.1573,0.6292,0.0562,0.1236,0.0337,0,0
"Globe University–Wausau","Rothschild","WI","2","2","3",NA,NA,NA,181,0,0.1667,0.6667,0,0.1296,0.037,0,0
"Dade Medical College-Hollywood","Hollywood","FL","2","2","5",NA,NA,NA,303,0,0,1,0,0,0,0,0
"Empire Beauty School-E Memphis","Memphis","TN","1","2","5",NA,NA,NA,169,0,0,0,0,0,0,0,1
"Empire Beauty School-Nashville","Brentwood","TN","1","2","5",NA,NA,NA,65,0,0,0,0,0,0,0,1
"Empire Beauty School-Jackson","Jackson","TN","1","2","5",NA,NA,NA,94,0,0,0,0,0,0,0,1
"Empire Beauty School-Springfield","Springfield","PA","1","2","2",NA,NA,NA,197,0,0,0,0,0,0,0,1
"Empire Beauty School-Paramus","Paramus","NJ","1","2","2",NA,NA,NA,130,0,0,0,0,0,0,0,1
"Empire Beauty School-Speedway","Speedway","IN","1","2","3",NA,NA,NA,170,0,0,0,0,0,0,0,1
"Empire Beauty School-Morrow","Morrow","GA","1","2","5",NA,NA,NA,255,0,0,0,0,0,0,0,1
"Strayer University-Arkansas","Little Rock","AR","3","2","5",NA,NA,NA,105,0,0.5,0,0,0.5,0,0,0
"Strayer University-Georgia","Atlanta","GA","3","2","5",NA,NA,NA,3253,0,0.7168,0,0.0019,0.1618,0.1195,0,0
"Strayer University-Mississippi","Jackson","MS","3","2","5",NA,NA,NA,156,0,0.7059,0,0,0.2353,0.0588,0,0
"Strayer University-South Carolina","Greenville","SC","3","2","5",NA,NA,NA,1219,0,0.7586,0,0,0.1078,0.1293,0.0043,0
"Strayer University-Texas","Austin","TX","3","2","6",NA,NA,NA,954,0,0.7458,0,0,0.1186,0.1356,0,0
"The Art Institute of San Antonio","San Antonio","TX","2","2","6",NA,NA,NA,1115,0.1951,0,0,0,0,0.0732,0,0.7317
"Globe University-La Crosse","Onalaska","WI","2","2","3",NA,NA,NA,237,0,0.1769,0.5442,0,0.1905,0.0884,0,0
"The Hair Design School-S Memphis","Memphis","TN","1","2","5",NA,NA,NA,117,0,0,0,0,0,0,0,1
"The Hair Design School-Charlotte","Charlotte","NC","1","2","5",NA,NA,NA,134,0,0,0,0,0,0,0,1
"The Hair Design School-E Greensboro","Greensboro","NC","1","2","5",NA,NA,NA,151,0,0,0,0,0,0,0,1
"The Hair Design School-Winston-Salem","Winston-Salem","NC","1","2","5",NA,NA,NA,121,0,0,0,0,0,0,0,1
"Empire Beauty School-West Palm","West Palm Beach","FL","1","2","5",NA,NA,NA,111,0,0,0,0,0,0,0,1
"Empire Beauty School-Pineville","Charlotte","NC","1","2","5",NA,NA,NA,105,0,0,0,0,0,0,0,1
"The Hair Design School-N Memphis","Memphis","TN","1","2","5",NA,NA,NA,61,0,0,0,0,0,0,0,1
"Broadview Entertainment Arts University","Salt Lake City","UT","1","2","7",NA,NA,NA,145,0,0,0,0,0,0,0,0
"Bryant & Stratton College-Hampton","Hampton","VA","2","2","5",NA,NA,NA,641,0,0.2097,0.3548,0,0.3709,0.0645,0,0
"Paul Mitchell the School-Phoenix","Phoenix","AZ","1","2","6",NA,NA,NA,187,0,0,0,0,0,0,0,1
"All Beauty College","Fort Mohave","AZ","1","2","6",NA,NA,NA,75,0,0,0,0,0,0,0,1
"Northern California Institute of Cosmetology Inc","San Leandro","CA","1","2","8",NA,NA,NA,44,0,0,0,0,0,0,0,1
"Golden State College of Court Reporting","Pleasanton","CA","1","2","8",NA,NA,NA,68,0,0,0,0,1,0,0,0
"Preferred College of Nursing-Los Angeles","Los Angeles","CA","1","2","8",NA,NA,NA,159,0,0,1,0,0,0,0,0
"Trinity Vocational Center","Gardena","CA","1","2","8",NA,NA,NA,90,0,0,1,0,0,0,0,0
"SICE Paul Mitchell Partner School","Modesto","CA","1","2","8",NA,NA,NA,73,0,0,0,0,0,0,0,1
"Cosmo Beauty Academy","Sacremanto","CA","1","2","8",NA,NA,NA,64,0,0,0,0,0,0,0,1
"Paul Mitchell the School-Fresno","Fresno","CA","1","2","8",NA,NA,NA,248,0,0,0,0,0,0,0,1
"Unitek College","Fremont","CA","1","2","8",NA,NA,NA,904,0,0,1,0,0,0,0,0
"Gurnick Academy of Medical Arts","San Mateo","CA","1","2","8",NA,NA,NA,843,0,0,1,0,0,0,0,0
"Paul Mitchell the School-East Bay","Pleasant Hill","CA","1","2","8",NA,NA,NA,259,0,0,0,0,0,0,0,1
"South University–Richmond","Glen Allen","VA","3","2","5",0.5135,NA,NA,634,0,0.0926,0.6296,0,0.1667,0,0.1111,0
"South University–Virginia Beach","Virginia Beach","VA","3","2","5",0.3421,NA,NA,685,0,0.0909,0.3333,0,0.4242,0.0303,0.1212,0
"Aveda Institute-Denver","Denver","CO","1","2","7",NA,NA,NA,485,0,0,0.0083,0,0,0,0,0.9917
"Paul Mitchell the School-Colorado Springs","Colorado Springs","CO","1","2","7",NA,NA,NA,231,0,0,0,0,0,0,0,1
"The Salon Professional Academy-Colorado Springs","Colorado Springs","CO","1","2","7",NA,NA,NA,86,0,0,0,0,0,0,0,1
"Paul Mitchell the School-Delaware","Newark","DE","1","2","2",NA,NA,NA,129,0,0,0,0,0,0,0,1
"Future-Tech Institute","Miami","FL","1","2","5",NA,NA,NA,35,0,0.2449,0.7551,0,0,0,0,0
"Marchman Technical Education Center","New Port Richey","FL","1","1","5",NA,NA,NA,161,0.043,0,0.1828,0.0753,0,0,0,0.699
"Eureka Institute of Health and Beauty","Miami","FL","1","2","5",NA,NA,NA,75,0,0,0.1333,0,0,0,0.04,0.8267
"The Salon Professional Academy-Ft Myers","North Fort Myers","FL","1","2","5",NA,NA,NA,36,0,0,0,0,0,0,0,1
"SOLEX College","Wheeling","IL","1","2","3",NA,NA,NA,84,0,0.2222,0.7778,0,0,0,0,0
"Unity Cosmetology College","Pontiac","IL","1","2","3",NA,NA,NA,77,0,0,0,0,0,0,0,1
"Universal Spa Training Academy","Downers Grove","IL","1","2","3",NA,NA,NA,58,0,0,0.25,0,0,0,0,0.75
"The Salon Professional Academy-Evansville","Evansville","IN","1","2","3",NA,NA,NA,105,0,0,0,0,0,0,0,1
"Tri County Regional Vocational Technical High School","Franklin","MA","1","1","1",NA,NA,NA,51,0,0,0.7018,0,0,0,0,0.2982
"Compass College of Cinematic Arts","Grand Rapids","MI","2","2","3",0.9815,NA,NA,80,1,0,0,0,0,0,0,0
"Nova Academy of Cosmetology","Rochester","MN","1","2","4",NA,NA,NA,84,0,0,0,0,0,0,0,1
"Starting Points Inc","Jersey City","NJ","1","2","2",NA,NA,NA,45,0,0,0,0,0,0,1,0
"The Lab-Paul Mitchell Partner School","Ewing","NJ","1","2","2",NA,NA,NA,138,0,0,0,0,0,0,0,1
"SAE Institute of Technology-New York","New York","NY","1","2","2",NA,NA,NA,218,0,0,0,0,0,1,0,0
"John Paolo's Xtreme Beauty Institute-Goldwell Product Artistry","Latham","NY","1","2","2",NA,NA,NA,27,0,0,0,0,0,0,0,1
"The Artisan College of Cosmetology","Findlay","OH","1","2","3",NA,NA,NA,30,0,0,0,0,0,0,0,1
"Sage School of Massage","Bend","OR","1","2","8",NA,NA,NA,28,0,0,1,0,0,0,0,0
"Lawyer's Assistant School of Dallas","Dallas","TX","1","2","6",NA,NA,NA,48,0,0,0,0,1,0,0,0
"ABC Beauty Academy","Garland","TX","1","2","6",NA,NA,NA,35,0,0,0,0,0,0,0,1
"Salon & Spa Institute","Brownsville","TX","1","2","6",NA,NA,NA,105,0,0,0,0,0,0,0,1
"American Beauty Academy","Payson","UT","1","2","7",NA,NA,NA,32,0,0,0,0,0,0,0,1
"The Salon Professional Academy-Tacoma","Tacoma","WA","1","2","8",NA,NA,NA,152,0,0,0,0,0,0,0,1
"The Academy Waukesha","Waukesha","WI","1","2","3",NA,NA,NA,161,0,0,0,0,0,0,0,1
"ITT Technical Institute-Merrillville","Merrillville","IN","2","2","3",0.6167,NA,NA,357,0,0,0.5463,0,0.0833,0.3703,0,0
"ITT Technical Institute-Tallahassee","Tallahassee","FL","2","2","5",0.5837,NA,NA,368,0.0818,0,0.1909,0,0.2455,0.4818,0,0
"ITT Technical Institute-Salem","Salem","VA","2","2","5",0.7351,NA,NA,250,0,0,0,0,0.2857,0.7142,0,0
"ITT Technical Institute-Akron","Akron","OH","2","2","3",0.6515,NA,NA,249,0.04,0,0,0,0.02,0.94,0,0
"ITT Technical Institute-Corona","Corona","CA","2","2","8",0.9814,NA,NA,479,0,0,0,0,0,1,0,0
"ITT Technical Institute-Johnson City","Johnson City","TN","2","2","5",0.9197,NA,NA,139,0,0,0,0,0.1818,0.8182,0,0
"ITT Technical Institute-DeSoto","DeSoto","TX","2","2","6",0.9,NA,NA,187,0,0,0,0,0.2065,0.7935,0,0
"ITT Technical Institute-North Charleston","North Charleston","SC","2","2","5",0.9545,NA,NA,265,0,0,0,0,0,1,0,0
"ITT Technical Institute-Aurora","Aurora","CO","2","2","7",0.8269,NA,NA,247,0.0294,0.0098,0,0,0.1373,0.8235,0,0
"ITT Technical Institute-Culver City","Culver City","CA","2","2","8",0.9058,NA,NA,319,0,0,0,0,0.1683,0.8316,0,0
"ITT Technical Institute-Dearborn","Dearborn","MI","2","2","3",0.9826,NA,NA,438,0.0156,0.0703,0,0,0.2969,0.6172,0,0
"ITT Technical Institute-Las Vegas","North Las Vegas","NV","2","2","8",0.968,NA,NA,569,0.0595,0.0119,0,0,0.2738,0.6548,0,0
"Touro University Worldwide","Los Alamitos","CA","3","2","8",0.8814,NA,NA,150,0,0.4706,0,0,0,0,0.5294,0
"Touro University Nevada","Henderson","NV","3","2","8",NA,NA,NA,4,0,0,1,0,0,0,0,0
"Herzing University-Kenosha","Kenosha","WI","2","2","3",0.7683,NA,NA,427,0.0361,0.0723,0.6988,0,0.1445,0.0482,0,0
"Herzing University-Brookfield","Brookfield","WI","1","2","3",0.6875,NA,NA,336,0.0508,0.1017,0.7797,0,0.0338,0.0339,0,0
"Fortis Institute-Houston","Houston","TX","1","2","6",NA,NA,NA,333,0,0,1,0,0,0,0,0
"Southern Careers Institute-Brownsville","Brownsville","TX","1","2","6",NA,NA,NA,313,0,0.1418,0.403,0,0,0,0,0.4552
"Southern Careers Institute-Harlingen","Harlingen","TX","1","2","6",NA,NA,NA,331,0,0.1086,0.8914,0,0,0,0,0
"Strayer University-Global Region","Washington","DC","3","2","2",NA,NA,NA,1429,0,0.669,0,0,0.0871,0.23,0.0139,0
"Regina's College of Beauty-Charlotte","Charlotte","NC","1","2","5",NA,NA,NA,102,0,0,0,0,0,0,0,1
"Kenneth Shuler School of Cosmetology-Florence","Florence","SC","1","2","5",NA,NA,NA,146,0,0,0,0,0,0,0,1
"Fortis College-Columbia","Columbia","SC","1","2","5",NA,NA,NA,543,0,0,0.6715,0,0,0,0,0.3285
"Brown Mackie College-Albuquerque","Albuquerque","NM","2","2","6",NA,NA,NA,780,0,0.0918,0.5357,0,0.2296,0.1428,0,0
"Brown Mackie College-St Louis","Fenton","MO","2","2","4",NA,NA,NA,634,0,0.093,0.7791,0,0.0872,0.0407,0,0
"Avant Gard The School","Avon","IN","1","2","3",NA,NA,NA,47,0,0,0,0,0,0,0,1
"Toni & Guy Hairdressing Academy-Bellingham","Bellingham","WA","1","2","8",NA,NA,NA,75,0,0,0,0,0,0,0,1
"California University of Management and Sciences","Anaheim","CA","3","2","8",NA,NA,NA,54,0,0.2222,0.3333,0.4444,0,0,0,0
"Ross Medical Education Center-Davison","Davison","MI","1","2","3",NA,NA,NA,181,0,0,1,0,0,0,0,0
"Ross Medical Education Center-Granger","Granger","IN","1","2","3",NA,NA,NA,174,0,0,1,0,0,0,0,0
"Ross Medical Education Center-Niles","Niles","OH","1","2","3",NA,NA,NA,151,0,0,1,0,0,0,0,0
"Ross Medical Education Center-Canton","Canton","MI","1","2","3",NA,NA,NA,131,0,0,1,0,0,0,0,0
"Pima Medical Institute-Houston","Houston","TX","1","2","6",NA,NA,NA,898,0,0,1,0,0,0,0,0
"Illinois Center for Broadcasting–Chicago Campus","Chicago","IL","1","2","3",NA,NA,NA,220,0,0,0,0,0,0,1,0
"Concorde Career Institute-Dallas","Dallas","TX","1","2","6",1,NA,NA,703,0,0,1,0,0,0,0,0
"Concorde Career Institute-Orlando","Orlando","FL","1","2","5",1,NA,NA,521,0,0,1,0,0,0,0,0
"Concorde Career Institute-San Antonio","San Antonio","TX","1","2","6",1,NA,NA,681,0,0,1,0,0,0,0,0
"Ecotech Institute","Aurora","CO","2","2","7",NA,NA,NA,476,0,0,0,0,0,1,0,0
"Everest College-Fort Worth South","Ft Worth","TX","1","2","6",NA,NA,NA,535,0,0,0.9847,0,0.0153,0,0,0
"Moreno Valley College","Moreno Valley","CA","2","1","8",NA,NA,NA,7101,0.0299,0.0299,0.2657,0.4727,0.1672,0.0169,0.018,0
"Hair Design Institute at Fifth Avenue-New York","New York","NY","1","2","2",NA,NA,NA,224,0,0,0,0,0,0,0,1
"Onondaga School of Therapeutic Massage-Rochester","Rochester","NY","1","2","2",NA,NA,NA,61,0,0,1,0,0,0,0,0
"Norco College","Norco","CA","2","1","8",NA,NA,NA,8321,0,0.1251,0,0.6828,0.0165,0.1377,0.0155,0.0223
"Dorsey Business Schools-Saginaw","Saginaw","MI","1","2","3",NA,NA,NA,223,0,0,1,0,0,0,0,0
"Milan Institute of Cosmetology-La Quinta","La Quinta","CA","1","2","8",NA,NA,NA,162,0,0,0,0,0,0,0,1
"Milan Institute-Nampa","Nampa","ID","1","2","7",NA,NA,NA,255,0,0,0.8564,0,0,0,0,0.1436
"Milan Institute of Cosmetology-El Paso","El Paso","TX","1","2","6",NA,NA,NA,458,0,0,0,0,0,0,0,1
"Universal Technical Institute - Dallas Fort Worth","Irving","TX","1","2","6",NA,NA,NA,1006,0,0,0,0,0,0,0,1
"Finger Lakes School of Massage","Mt. Kisco","NY","1","2","2",NA,NA,NA,56,0,0,1,0,0,0,0,0
"Park Avenue School of Cosmetology","Park Rapids","MN","1","2","4",NA,NA,NA,53,0,0,0,0,0,0,0,1
"Salter School of Nursing and Allied Health","Manchester","NH","1","2","1",NA,NA,NA,257,0,0,1,0,0,0,0,0
"Salter School-New Bedford","New Bedford","MA","1","2","1",NA,NA,NA,317,0,0,0.9266,0,0.0734,0,0,0
"Harris School of Business-Upper Darby Campus","Upper Darby","PA","1","2","2",NA,NA,NA,594,0,0,1,0,0,0,0,0
"Brown Mackie College-San Antonio","San Antonio","TX","2","2","6",NA,NA,NA,785,0,0.1,0.6167,0,0.2167,0.0666,0,0
"Hollywood Institute of Beauty Careers","Miami Beach","FL","1","2","5",NA,NA,NA,53,0,0,0.0968,0,0,0,0,0.9032
"Cortiva Institute-New Jersey","Wall","NJ","1","2","2",NA,NA,NA,66,0,0,1,0,0,0,0,0
"Cambridge Junior College-Woodland","Woodland","CA","1","2","8",0.8667,NA,NA,96,0,0,1,0,0,0,0,0
"ICPR Junior College-Manati","Arecibo","PR","1","2","9",NA,NA,NA,613,0,0,0.2736,0.2736,0.0472,0.0566,0,0.3491
"Ridley-Lowell Business & Technical Institute-Danbury","Danbury","CT","1","2","1",NA,NA,NA,49,0,0,0.6512,0,0,0.1395,0,0.2093
"Artistic Nails and Beauty Academy-Lakeland","Lakeland","FL","1","2","5",NA,NA,NA,220,0,0,0,0,0,0,0,1
"American Sentinel University","Aurora","CO","3","2","7",NA,NA,NA,2328,0,0.0308,0.894,0,0,0.0424,0.0328,0
"Tribeca Flashpoint Media Arts Academy","Chicago","IL","2","2","3",0.7375,NA,NA,386,0.3074,0,0,0,0,0.3108,0.3818,0
"Hawaii Medical College","Honolulu","HI","1","2","8",NA,NA,NA,22,0,0,1,0,0,0,0,0
"Carolina College of Hair Design","Asheville","NC","1","2","5",NA,NA,NA,59,0,0,0,0,0,0,0,1
"Virginia College-Baton Rouge","Baton Rouge","LA","1","2","5",NA,NA,NA,600,0,0.0248,0.6694,0,0,0,0,0.3058
"College of Massage Therapy","Blackfoot","ID","1","1","7",NA,NA,NA,12,0,0,1,0,0,0,0,0
"Miller-Motte College-Jacksonville","Jacksonville","NC","1","2","5",NA,NA,NA,475,0,0.0132,0.7105,0,0,0,0,0.2763
"Miller-Motte Technical College-Augusta","Augusta","GA","2","2","5",NA,NA,NA,485,0,0.0408,0.7959,0,0,0,0,0.1633
"Miller-Motte Technical College-Conway","Conway","SC","1","2","5",NA,NA,NA,752,0,0,0.7851,0,0,0,0,0.2149
"Virginia College-Macon","Macon","GA","1","2","5",NA,NA,NA,451,0,0.1607,0.6786,0,0,0,0,0.1607
"Virginia College-Spartanburg","Spartanburg","SC","1","2","5",NA,NA,NA,495,0,0.056,0.844,0,0,0,0,0.1
"Aveda Institute-Portland","Portland","OR","1","2","8",NA,NA,NA,348,0,0,0,0,0,0,0,1
"Chamberlain College of Nursing-Virginia","Arlington","VA","3","2","5",0.8333,NA,NA,363,0,0,1,0,0,0,0,0
"Stevens-Henager College-Boise","Boise","ID","2","2","7",NA,NA,NA,422,0.0714,0.1176,0.6261,0,0,0.1849,0,0
"The Salon Professional Academy-Cincinnati","Cincinnati","OH","1","2","3",NA,NA,NA,58,0,0,0,0,0,0,0,1
"Penrose Academy","Scottsdale","AZ","1","2","6",NA,NA,NA,177,0,0,0,0,0,0,0,1
"Virginia College-Richmond","Richmond","VA","1","2","5",NA,NA,NA,506,0,0.0136,0.4887,0,0,0,0,0.4977
"Skin Institute","Saint Louis","MO","1","2","4",NA,NA,NA,55,0,0,0,0,0,0,0,1
"Body Therapy Institute","Siler City","NC","1","2","5",NA,NA,NA,64,0,0,1,0,0,0,0,0
"Beauty Academy of South Florida","Hialeah Gardens","FL","1","2","5",NA,NA,NA,114,0,0,0,0,0,0,0,1
"Ogle School Hair Skin Nails-North Dallas","Dallas","TX","1","2","6",NA,NA,NA,154,0,0,0,0,0,0,0,1
"The Salon Professional Academy-North Little Rock","North Little Rock","AR","1","2","5",NA,NA,NA,64,0,0,0,0,0,0,0,1
"The Salon Professional Academy-St Charles","St. Charles","MO","1","2","4",NA,NA,NA,100,0,0,0,0,0,0,0,1
"American Institute","Celebration","FL","2","2","5",NA,NA,NA,252,0,0,1,0,0,0,0,0
"Mildred Elley-New York Campus","New York","NY","1","2","2",NA,NA,NA,609,0,0,1,0,0,0,0,0
