"INSTNM","CITY","state","degree_offered","CONTROL","region","ADM_RATE","SATVRMID","SATMTMID","num_undergrad","prop_arts_human","prop_business","prop_health_med","prop_interdiscip","prop_public_svce","prop_sci_math_tech","prop_social_sci","prop_trades_personal_svce"
"Southwest University of Visual Arts-Tucson","Tucson","AZ","3","2","6",NA,NA,NA,216,0.7391,0,0,0,0,0.1957,0.0652,0
"Central Arizona College","Coolidge","AZ","2","1","6",NA,NA,NA,5462,0,0.0197,0.2395,0.3695,0.0296,0.0879,0.0206,0.2331
"Brown Mackie College-Tucson","Tucson","AZ","2","2","6",NA,NA,NA,684,0.0179,0.1121,0.417,0.0224,0.1884,0.2017,0.0404,0
"Charles of Italy Beauty College","Lake Havasu City","AZ","1","2","6",NA,NA,NA,83,0,0,0.3276,0,0,0,0,0.6724
"Cochise College","Douglas","AZ","2","1","6",NA,NA,NA,3787,0.0057,0.0163,0.1043,0.2477,0.2551,0.0771,0.0301,0.2636
"Empire Beauty School-Flagstaff","Flagstaff","AZ","1","2","6",NA,NA,NA,53,0,0,0,0,0,0,0,1
"Empire Beauty School-Chandler","Chandler","AZ","1","2","6",NA,NA,NA,113,0,0,0,0,0,0,0,1
"Cortiva Institute-Tucson","Tucson","AZ","1","2","6",NA,NA,NA,143,0,0,1,0,0,0,0,0
"Avalon School of Cosmetology-Mesa","Mesa","AZ","1","2","6",NA,NA,NA,273,0,0,0,0,0,0,0,1
"Eastern Arizona College","Thatcher","AZ","1","1","6",NA,NA,NA,4812,0.0162,0.188,0.1799,0.1709,0.0281,0.0355,0.0385,0.3427
"Embry-Riddle Aeronautical University-Prescott","Prescott","AZ","3","2","6",0.7898,565,595,1802,0,0.0497,0,0.0404,0,0.441,0.1491,0.3199
"Frank Lloyd Wright School of Architecture","Scottsdale","AZ","3","2","6",NA,NA,NA,2,0,0,0,0,0,1,0,0
"Glendale Community College","Glendale","AZ","1","1","6",NA,NA,NA,16623,0.2736,0.081,0.1706,0.3138,0.0436,0.0694,0.024,0.024
"Grand Canyon University","Phoenix","AZ","3","2","6",0.548,NA,NA,34643,0.0456,0.1112,0.58,0.0116,0.0159,0.0205,0.2155,0
"GateWay Community College","Phoenix","AZ","1","1","6",NA,NA,NA,5653,0.0507,0.2467,0.3976,0.0545,0.0056,0.0382,0,0.2066
"Mesa Community College","Mesa","AZ","1","1","6",NA,NA,NA,20120,0.2727,0.0804,0.1216,0.3162,0.0454,0.1151,0.0223,0.0264
"ITT Technical Institute-Tucson","Tucson","AZ","2","2","6",0.9703,NA,NA,409,0.0422,0.1024,0,0,0.1687,0.6868,0,0
"ITT Technical Institute-Tempe","Tempe","AZ","2","2","6",0.9796,NA,NA,498,0,0.0873,0,0,0.1905,0.7223,0,0
"Mohave Community College","Kingman","AZ","1","1","6",NA,NA,NA,4759,0.1835,0.0984,0.3289,0.179,0.0123,0.0626,0.0134,0.122
"Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division","Phoenix","AZ","1","2","6",NA,NA,NA,2049,0,0,0,0,0,0,0,1
"Dine College","Tsaile","AZ","2","1","6",NA,NA,NA,1402,0.0227,0.0909,0.1742,0.2121,0,0.0682,0.4318,0
"Northern Arizona University","Flagstaff","AZ","3","1","6",0.9137,525,525,22011,0.0681,0.1889,0.0892,0.148,0.0123,0.1883,0.3052,0
"Northland Pioneer College","Holbrook","AZ","1","1","6",NA,NA,NA,1641,0,0.022,0.2317,0.1439,0.0463,0.0756,0.0561,0.4244
"Ottawa University-Phoenix","Phoenix","AZ","3","2","6",NA,NA,NA,335,0,0.2677,0.0404,0,0.096,0.0101,0.5858,0
"Phoenix College","Phoenix","AZ","1","1","6",NA,NA,NA,10234,0.2055,0.1176,0.2568,0.2069,0.1505,0.0462,0.0094,0.0071
"Cortiva Institute-Scottsdale","Scottsdale","AZ","1","2","6",NA,NA,NA,87,0,0,1,0,0,0,0,0
"University of Phoenix-Phoenix Campus","Tempe","AZ","3","2","6",NA,NA,NA,3044,0,0.4651,0.1448,0.0804,0.197,0.063,0.0496,0
"Pima Community College","Tucson","AZ","1","1","6",NA,NA,NA,26600,0.0258,0.0766,0.1666,0.5332,0.0497,0.0347,0.0366,0.0768
"Pima Medical Institute-Tucson","Tucson","AZ","1","2","6",NA,NA,NA,1726,0,0,1,0,0,0,0,0
"Pima Medical Institute-Albuquerque","Albuquerque","NM","1","2","6",NA,NA,NA,930,0,0,1,0,0,0,0,0
"Prescott College","Prescott","AZ","3","2","6",0.7293,560,510,540,0.0383,0.0096,0.0335,0.2966,0.0048,0.1961,0.421,0
"Refrigeration School Inc","Phoenix","AZ","1","2","6",NA,NA,NA,621,0,0,0,0,0,0.9979,0,0.0021
"Rio Salado College","Tempe","AZ","1","1","6",NA,NA,NA,10217,0.0365,0.2301,0.0459,0.0499,0.3256,0.1701,0.0143,0.1276
